ABCDEF
(0, ('A', 'B', 'C', 'D', 'E', 'F'))
(160, ('B', 'C', 'E', 'F', 'A', 'D'))
(280, ('C', 'B', 'E', 'F', 'A', 'D'))
(400, ('D', 'B', 'E', 'F', 'A', 'C'))
(520, ('E', 'B', 'D', 'F', 'A', 'C'))
(640, ('F', 'B', 'D', 'E', 'A', 'C'))
(39, ('A', 'C', 'E', 'D', 'F', 'B'))
(159, ('B', 'C', 'E', 'D', 'F', 'A'))
(279, ('C', 'B', 'E', 'D', 'F', 'A'))
(399, ('D', 'B', 'E', 'C', 'F', 'A'))
(519, ('E', 'B', 'D', 'C', 'F', 'A'))
(639, ('F', 'B', 'D', 'C', 'E', 'A'))
(38, ('A', 'C', 'E', 'D', 'B', 'F'))
(158, ('B', 'C', 'E', 'D', 'A', 'F'))
(278, ('C', 'B', 'E', 'D', 'A', 'F'))
(398, ('D', 'B', 'E', 'C', 'A', 'F'))
(518, ('E', 'B', 'D', 'C', 'A', 'F'))
(638, ('F', 'B', 'D', 'C', 'A', 'E'))
(37, ('A', 'C', 'E', 'B', 'F', 'D'))
(157, ('B', 'C', 'E', 'A', 'F', 'D'))
(277, ('C', 'B', 'E', 'A', 'F', 'D'))
(397, ('D', 'B', 'E', 'A', 'F', 'C'))
(517, ('E', 'B', 'D', 'A', 'F', 'C'))
(637, ('F', 'B', 'D', 'A', 'E', 'C'))
(36, ('A', 'C', 'E', 'B', 'D', 'F'))
(156, ('B', 'C', 'E', 'A', 'D', 'F'))
(276, ('C', 'B', 'E', 'A', 'D', 'F'))
(396, ('D', 'B', 'E', 'A', 'C', 'F'))
(516, ('E', 'B', 'D', 'A', 'C', 'F'))
(636, ('F', 'B', 'D', 'A', 'C', 'E'))
(35, ('A', 'C', 'D', 'F', 'E', 'B'))
(155, ('B', 'C', 'D', 'F', 'E', 'A'))
(275, ('C', 'B', 'D', 'F', 'E', 'A'))
(395, ('D', 'B', 'C', 'F', 'E', 'A'))
(515, ('E', 'B', 'C', 'F', 'D', 'A'))
(635, ('F', 'B', 'C', 'E', 'D', 'A'))
(34, ('A', 'C', 'D', 'F', 'B', 'E'))
(154, ('B', 'C', 'D', 'F', 'A', 'E'))
(274, ('C', 'B', 'D', 'F', 'A', 'E'))
(394, ('D', 'B', 'C', 'F', 'A', 'E'))
(514, ('E', 'B', 'C', 'F', 'A', 'D'))
(634, ('F', 'B', 'C', 'E', 'A', 'D'))
(33, ('A', 'C', 'D', 'E', 'F', 'B'))
(153, ('B', 'C', 'D', 'E', 'F', 'A'))
(273, ('C', 'B', 'D', 'E', 'F', 'A'))
(393, ('D', 'B', 'C', 'E', 'F', 'A'))
(513, ('E', 'B', 'C', 'D', 'F', 'A'))
(633, ('F', 'B', 'C', 'D', 'E', 'A'))
(32, ('A', 'C', 'D', 'E', 'B', 'F'))
(152, ('B', 'C', 'D', 'E', 'A', 'F'))
(272, ('C', 'B', 'D', 'E', 'A', 'F'))
(392, ('D', 'B', 'C', 'E', 'A', 'F'))
(512, ('E', 'B', 'C', 'D', 'A', 'F'))
(632, ('F', 'B', 'C', 'D', 'A', 'E'))
(31, ('A', 'C', 'D', 'B', 'F', 'E'))
(151, ('B', 'C', 'D', 'A', 'F', 'E'))
(271, ('C', 'B', 'D', 'A', 'F', 'E'))
(391, ('D', 'B', 'C', 'A', 'F', 'E'))
(511, ('E', 'B', 'C', 'A', 'F', 'D'))
(631, ('F', 'B', 'C', 'A', 'E', 'D'))
(30, ('A', 'C', 'D', 'B', 'E', 'F'))
(150, ('B', 'C', 'D', 'A', 'E', 'F'))
(270, ('C', 'B', 'D', 'A', 'E', 'F'))
(390, ('D', 'B', 'C', 'A', 'E', 'F'))
(510, ('E', 'B', 'C', 'A', 'D', 'F'))
(630, ('F', 'B', 'C', 'A', 'D', 'E'))
(29, ('A', 'C', 'B', 'F', 'E', 'D'))
(149, ('B', 'C', 'A', 'F', 'E', 'D'))
(269, ('C', 'B', 'A', 'F', 'E', 'D'))
(389, ('D', 'B', 'A', 'F', 'E', 'C'))
(509, ('E', 'B', 'A', 'F', 'D', 'C'))
(629, ('F', 'B', 'A', 'E', 'D', 'C'))
(28, ('A', 'C', 'B', 'F', 'D', 'E'))
(148, ('B', 'C', 'A', 'F', 'D', 'E'))
(268, ('C', 'B', 'A', 'F', 'D', 'E'))
(388, ('D', 'B', 'A', 'F', 'C', 'E'))
(508, ('E', 'B', 'A', 'F', 'C', 'D'))
(628, ('F', 'B', 'A', 'E', 'C', 'D'))
(27, ('A', 'C', 'B', 'E', 'F', 'D'))
(147, ('B', 'C', 'A', 'E', 'F', 'D'))
(267, ('C', 'B', 'A', 'E', 'F', 'D'))
(387, ('D', 'B', 'A', 'E', 'F', 'C'))
(507, ('E', 'B', 'A', 'D', 'F', 'C'))
(627, ('F', 'B', 'A', 'D', 'E', 'C'))
(26, ('A', 'C', 'B', 'E', 'D', 'F'))
(146, ('B', 'C', 'A', 'E', 'D', 'F'))
(266, ('C', 'B', 'A', 'E', 'D', 'F'))
(386, ('D', 'B', 'A', 'E', 'C', 'F'))
(506, ('E', 'B', 'A', 'D', 'C', 'F'))
(626, ('F', 'B', 'A', 'D', 'C', 'E'))
(25, ('A', 'C', 'B', 'D', 'F', 'E'))
(145, ('B', 'C', 'A', 'D', 'F', 'E'))
(265, ('C', 'B', 'A', 'D', 'F', 'E'))
(385, ('D', 'B', 'A', 'C', 'F', 'E'))
(505, ('E', 'B', 'A', 'C', 'F', 'D'))
(625, ('F', 'B', 'A', 'C', 'E', 'D'))
(24, ('A', 'C', 'B', 'D', 'E', 'F'))
(144, ('B', 'C', 'A', 'D', 'E', 'F'))
(264, ('C', 'B', 'A', 'D', 'E', 'F'))
(384, ('D', 'B', 'A', 'C', 'E', 'F'))
(504, ('E', 'B', 'A', 'C', 'D', 'F'))
(624, ('F', 'B', 'A', 'C', 'D', 'E'))
(23, ('A', 'B', 'F', 'E', 'D', 'C'))
(143, ('B', 'A', 'F', 'E', 'D', 'C'))
(263, ('C', 'A', 'F', 'E', 'D', 'B'))
(383, ('D', 'A', 'F', 'E', 'C', 'B'))
(503, ('E', 'A', 'F', 'D', 'C', 'B'))
(623, ('F', 'A', 'E', 'D', 'C', 'B'))
(22, ('A', 'B', 'F', 'E', 'C', 'D'))
(142, ('B', 'A', 'F', 'E', 'C', 'D'))
(262, ('C', 'A', 'F', 'E', 'B', 'D'))
(382, ('D', 'A', 'F', 'E', 'B', 'C'))
(502, ('E', 'A', 'F', 'D', 'B', 'C'))
(622, ('F', 'A', 'E', 'D', 'B', 'C'))
(21, ('A', 'B', 'F', 'D', 'E', 'C'))
(141, ('B', 'A', 'F', 'D', 'E', 'C'))
(261, ('C', 'A', 'F', 'D', 'E', 'B'))
(381, ('D', 'A', 'F', 'C', 'E', 'B'))
(501, ('E', 'A', 'F', 'C', 'D', 'B'))
(621, ('F', 'A', 'E', 'C', 'D', 'B'))
(20, ('A', 'B', 'F', 'D', 'C', 'E'))
(140, ('B', 'A', 'F', 'D', 'C', 'E'))
(260, ('C', 'A', 'F', 'D', 'B', 'E'))
(380, ('D', 'A', 'F', 'C', 'B', 'E'))
(500, ('E', 'A', 'F', 'C', 'B', 'D'))
(620, ('F', 'A', 'E', 'C', 'B', 'D'))
(19, ('A', 'B', 'F', 'C', 'E', 'D'))
(139, ('B', 'A', 'F', 'C', 'E', 'D'))
(259, ('C', 'A', 'F', 'B', 'E', 'D'))
(379, ('D', 'A', 'F', 'B', 'E', 'C'))
(499, ('E', 'A', 'F', 'B', 'D', 'C'))
(619, ('F', 'A', 'E', 'B', 'D', 'C'))
(18, ('A', 'B', 'F', 'C', 'D', 'E'))
(138, ('B', 'A', 'F', 'C', 'D', 'E'))
(258, ('C', 'A', 'F', 'B', 'D', 'E'))
(378, ('D', 'A', 'F', 'B', 'C', 'E'))
(498, ('E', 'A', 'F', 'B', 'C', 'D'))
(618, ('F', 'A', 'E', 'B', 'C', 'D'))
(17, ('A', 'B', 'E', 'F', 'D', 'C'))
(137, ('B', 'A', 'E', 'F', 'D', 'C'))
(257, ('C', 'A', 'E', 'F', 'D', 'B'))
(377, ('D', 'A', 'E', 'F', 'C', 'B'))
(497, ('E', 'A', 'D', 'F', 'C', 'B'))
(617, ('F', 'A', 'D', 'E', 'C', 'B'))
(16, ('A', 'B', 'E', 'F', 'C', 'D'))
(136, ('B', 'A', 'E', 'F', 'C', 'D'))
(256, ('C', 'A', 'E', 'F', 'B', 'D'))
(376, ('D', 'A', 'E', 'F', 'B', 'C'))
(496, ('E', 'A', 'D', 'F', 'B', 'C'))
(616, ('F', 'A', 'D', 'E', 'B', 'C'))
(15, ('A', 'B', 'E', 'D', 'F', 'C'))
(135, ('B', 'A', 'E', 'D', 'F', 'C'))
(255, ('C', 'A', 'E', 'D', 'F', 'B'))
(375, ('D', 'A', 'E', 'C', 'F', 'B'))
(495, ('E', 'A', 'D', 'C', 'F', 'B'))
(615, ('F', 'A', 'D', 'C', 'E', 'B'))
(14, ('A', 'B', 'E', 'D', 'C', 'F'))
(134, ('B', 'A', 'E', 'D', 'C', 'F'))
(254, ('C', 'A', 'E', 'D', 'B', 'F'))
(374, ('D', 'A', 'E', 'C', 'B', 'F'))
(494, ('E', 'A', 'D', 'C', 'B', 'F'))
(614, ('F', 'A', 'D', 'C', 'B', 'E'))
(13, ('A', 'B', 'E', 'C', 'F', 'D'))
(133, ('B', 'A', 'E', 'C', 'F', 'D'))
(253, ('C', 'A', 'E', 'B', 'F', 'D'))
(373, ('D', 'A', 'E', 'B', 'F', 'C'))
(493, ('E', 'A', 'D', 'B', 'F', 'C'))
(613, ('F', 'A', 'D', 'B', 'E', 'C'))
(12, ('A', 'B', 'E', 'C', 'D', 'F'))
(132, ('B', 'A', 'E', 'C', 'D', 'F'))
(252, ('C', 'A', 'E', 'B', 'D', 'F'))
(372, ('D', 'A', 'E', 'B', 'C', 'F'))
(492, ('E', 'A', 'D', 'B', 'C', 'F'))
(612, ('F', 'A', 'D', 'B', 'C', 'E'))
(11, ('A', 'B', 'D', 'F', 'E', 'C'))
(131, ('B', 'A', 'D', 'F', 'E', 'C'))
(251, ('C', 'A', 'D', 'F', 'E', 'B'))
(371, ('D', 'A', 'C', 'F', 'E', 'B'))
(491, ('E', 'A', 'C', 'F', 'D', 'B'))
(611, ('F', 'A', 'C', 'E', 'D', 'B'))
(10, ('A', 'B', 'D', 'F', 'C', 'E'))
(130, ('B', 'A', 'D', 'F', 'C', 'E'))
(250, ('C', 'A', 'D', 'F', 'B', 'E'))
(370, ('D', 'A', 'C', 'F', 'B', 'E'))
(490, ('E', 'A', 'C', 'F', 'B', 'D'))
(610, ('F', 'A', 'C', 'E', 'B', 'D'))
(9, ('A', 'B', 'D', 'E', 'F', 'C'))
(129, ('B', 'A', 'D', 'E', 'F', 'C'))
(249, ('C', 'A', 'D', 'E', 'F', 'B'))
(369, ('D', 'A', 'C', 'E', 'F', 'B'))
(489, ('E', 'A', 'C', 'D', 'F', 'B'))
(609, ('F', 'A', 'C', 'D', 'E', 'B'))
(8, ('A', 'B', 'D', 'E', 'C', 'F'))
(128, ('B', 'A', 'D', 'E', 'C', 'F'))
(248, ('C', 'A', 'D', 'E', 'B', 'F'))
(368, ('D', 'A', 'C', 'E', 'B', 'F'))
(488, ('E', 'A', 'C', 'D', 'B', 'F'))
(608, ('F', 'A', 'C', 'D', 'B', 'E'))
(7, ('A', 'B', 'D', 'C', 'F', 'E'))
(127, ('B', 'A', 'D', 'C', 'F', 'E'))
(247, ('C', 'A', 'D', 'B', 'F', 'E'))
(367, ('D', 'A', 'C', 'B', 'F', 'E'))
(487, ('E', 'A', 'C', 'B', 'F', 'D'))
(607, ('F', 'A', 'C', 'B', 'E', 'D'))
(6, ('A', 'B', 'D', 'C', 'E', 'F'))
(126, ('B', 'A', 'D', 'C', 'E', 'F'))
(246, ('C', 'A', 'D', 'B', 'E', 'F'))
(366, ('D', 'A', 'C', 'B', 'E', 'F'))
(486, ('E', 'A', 'C', 'B', 'D', 'F'))
(606, ('F', 'A', 'C', 'B', 'D', 'E'))
(5, ('A', 'B', 'C', 'F', 'E', 'D'))
(125, ('B', 'A', 'C', 'F', 'E', 'D'))
(245, ('C', 'A', 'B', 'F', 'E', 'D'))
(365, ('D', 'A', 'B', 'F', 'E', 'C'))
(485, ('E', 'A', 'B', 'F', 'D', 'C'))
(605, ('F', 'A', 'B', 'E', 'D', 'C'))
(4, ('A', 'B', 'C', 'F', 'D', 'E'))
(124, ('B', 'A', 'C', 'F', 'D', 'E'))
(244, ('C', 'A', 'B', 'F', 'D', 'E'))
(364, ('D', 'A', 'B', 'F', 'C', 'E'))
(484, ('E', 'A', 'B', 'F', 'C', 'D'))
(604, ('F', 'A', 'B', 'E', 'C', 'D'))
(3, ('A', 'B', 'C', 'E', 'F', 'D'))
(123, ('B', 'A', 'C', 'E', 'F', 'D'))
(243, ('C', 'A', 'B', 'E', 'F', 'D'))
(363, ('D', 'A', 'B', 'E', 'F', 'C'))
(483, ('E', 'A', 'B', 'D', 'F', 'C'))
(603, ('F', 'A', 'B', 'D', 'E', 'C'))
(2, ('A', 'B', 'C', 'E', 'D', 'F'))
(122, ('B', 'A', 'C', 'E', 'D', 'F'))
(242, ('C', 'A', 'B', 'E', 'D', 'F'))
(362, ('D', 'A', 'B', 'E', 'C', 'F'))
(482, ('E', 'A', 'B', 'D', 'C', 'F'))
(602, ('F', 'A', 'B', 'D', 'C', 'E'))
(1, ('A', 'B', 'C', 'D', 'F', 'E'))
(121, ('B', 'A', 'C', 'D', 'F', 'E'))
(241, ('C', 'A', 'B', 'D', 'F', 'E'))
(361, ('D', 'A', 'B', 'C', 'F', 'E'))
(481, ('E', 'A', 'B', 'C', 'F', 'D'))
(601, ('F', 'A', 'B', 'C', 'E', 'D'))
